第一章 雪婷镇
段王妃 大理王妃，徐娘半老，风韵犹存。
石人 一个练功用的比武石人，雕凿得很精细，如同真人一般。
段无畏 他是大理国镇南王府管家。
古护卫 他是大理国四大护卫之一。
王府御医 一个风程仆仆的侠客。
段皇爷 他就是大理国的镇南王，当今皇太弟，是有名的爱情圣手。
婉清姑娘 她长得似新月清晕，如花树堆雪，一张脸秀丽绝俗，只是过于苍白，没半点血色，想是她长时面幕蒙脸之故，两片薄薄的嘴唇，也是血色极淡，神情楚楚可怜，娇柔婉转。
薛老板 这是一个经验老到的生意人，一双精明的眼睛不停的打量着你。
石匠 他是一个打磨大理石的石匠，身上只穿了一件坎肩，全身布满了厚实的肌肉。
摆夷小孩 一个幼小的摆夷儿童。
江湖艺人 他是一个外地来的江湖艺人，手里牵着一只金丝猴儿，满脸风尘之色。
太和居店小二 这位店小二正笑咪咪地忙著，还不时拿起挂在脖子上的抹布擦脸。
歌女 她是一个卖唱为生的歌女。
南国姑娘 南国的大姑娘颇带有当地优美秀丽山水的风韵，甜甜的笑，又有天真的浪漫。她穿着白色上衣，蓝色的宽裤，外面套着黑丝绒领褂，头上缠着彩色的头巾。
摆夷老叟 一个摆夷老叟大大咧咧地坐在竹篱板舍门口，甩着三四个巴掌大的棕吕树叶，瞧着道上来来往往的人们，倒也快活自在。
野兔 一只好可爱的小野兔。
盛皮罗客商 这是一位从印度来的客商，皮肤黝黑，白布包头，大理把印度人叫作盛皮罗。
客店店小二 这位店小二正笑咪咪地忙著，还不时拿起挂在脖子上的抹布擦脸。
古灯大师 他身穿粗布僧袍，两道长长的白眉从眼角垂了下来，面目慈祥，长须垂肩，眉间虽隐含愁苦，但一番雍容高华的神色，却是一望而知。大师一生行善，积德无穷。
渔夫 一位台夷族的渔夫，扛这两条竹桨，提着一个鱼篓。
台夷猎人 一位台夷族的猎手，擅用短弩，射飞鸟。
台夷妇女 一位中年的台夷妇女，上着无领衬花对襟，下穿五色筒裙，正在编织渔网。
台夷姑娘 一位年轻的台夷姑娘，上着无领衬花对襟，下穿五色筒裙。
水牛 一头南方山区常见的水牛，是耕作的主力，也用来拉车载物。由于水草茂盛，长得十分肥壮。
台夷农妇 一位年轻的台夷农妇，在田里辛勤地劳作着。
武定镇采笋人 一个卢鹿部的青年台夷妇女，背后背了个竹筐，手拿一把砍柴刀，来采竹笋。
族长 一位满脸皱纹的老年妇女，正是本村的族长。台夷时处母系氏族，族中权贵皆为妇女。
祭祀 一位满脸皱纹的老年妇女，是本村的大祭司，常年司守祭台。台夷时处母系氏族，祭司要职皆为妇女。
侍者 他看上去长的眉清目秀。
高侯爷 大理国侯爷，这是位宽袍大袖的中年男子，三缕长髯，形貌高雅
素衣卫士 这是位身怀绝技的武士。
陪从 一个部族头领的陪从。
傣族首领 这是一个身裹虎皮的高大男性。
大土司 大土司是摆夷族人氏，是苍山纳苏系的。他倒是长的肥头大耳的，每说一句话，每有一点表情，满脸的肉纹便象是洱海里的波浪一样。他身着彩绸，头带凤羽，脚踩藤鞋，满身挂着不同色彩的贝壳。只见他傲气凛然地高居上座，不把来人看在眼里。
侍从 这位倒也打扮的利索，一身短打，白布包头，翘起的裤腿，一双洁白的布鞋，格外醒目。他正准备出去筹备白尼族一年一度的大会。
族头人 这位是哈尼的族头人，哈尼是大理国的第三大族，大多聚在大都附近。此人貌甚精明，身穿对襟衣，亦是白布包头。他坐在大土司的右下首，对来人细细打量着。
黄衣卫士 这是位黄衣卫士，身着锦衣，手执钢刀，双目精光炯炯，警惕地巡视着四周的情形。
毒蜂 一只色彩斑斓大个野蜂，成群结队的。
平通镖局镖头 一个风尘仆仆的侠客。。
麻雀 一只叽叽喳喳，飞来飞去的小麻雀。
小道姑 玉虚观的小道姑，她是在这接待香客的。
刀俏尼 这是个容貌秀丽的中年道姑，是个摆夷族女子，颇有雍容气质。
僧人 一个精壮僧人。
枯大师 他的面容奇特之极，左边的一半脸色红润，皮光肉滑，有如婴儿，右边的一半却如枯骨，除了一张焦黄的面皮之外全无肌肉，骨头突了出来，宛然便是半个骷髅骨头。这是他修习枯荣禅功所致。
恶奴 他看上去膀大腰粗，横眉怒目，满面横肉。看来手下倒也有点功夫。
贵公子 这是一介翩翩贵公子，长得到也算玉树临风、一表人才，可偏偏一双眼睛却爱斜着瞟人。
游客 一个远道来的汉族游客，风尘仆仆，但显然为眼前美景所动，兴高彩烈。
村妇 一个年轻的摆夷村妇。
段公子 他是一个身穿青衫的年轻男子。脸孔略尖，自有一股书生的呆气。
竹叶青蛇 一只让人看了起鸡皮疙瘩的竹叶青蛇。
阳宗镇台夷商贩 一个台夷妇女，背着个竹篓贩卖些丝织物品和手工艺品。
采桑女 一个年轻的摆夷采桑姑娘。
阳宗镇采笋人 一个壮年村民，住在数里外的村庄，背后背了个竹筐，手拿一把砍柴刀，上山来采竹笋。
砍竹人 一个壮年村民，住在山下的村落里，是上山来砍伐竹子的。
养蚕女 一个年轻的摆夷村妇，养蚕纺丝为生。
纺纱女 一个年轻的摆夷村妇，心灵手巧，专擅纺纱。
老祭祀 一个颇老朽的摆夷老人，穿戴齐整，是本村的祭司，权力颇大，相当于族长。

第三十四章 断剑山庄
黑袍老人 一生黑装的老人。
白袍老人 一生白装的老人。
和尚 出了家的人，唯一做的事就是念经了。
尼姑 一个正虔诚念经的尼姑。
摆渡老人 一个饱经风霜的摆渡老人。
天怒剑客 他是独孤求败的爱徒，但他和师傅的性格相差极远。他从不苟言笑，他的脸永远冰冷，只因他已看透了世界，只因他杀的人已太多。他永远只在杀人的时候微笑，当剑尖穿过敌人的咽喉，他那灿烂的一笑令人感到温暖，只因他一向认为——死者无罪！
任笑天 这是一个中年男子。正静静地站着，双目微闭，正在听海！
摘星老人 他站在这里已经有几十年了。每天看天上划过的流星，已经完全忘记了一切……甚至他自己。
落魄中年 一位落魄的中年人，似乎是一位铁匠。
栽花老人 一个饱经风霜的栽花老人。
背刀人 此人背着一把生锈的刀，他似乎姓浪，武功深不可测。
雁南飞 这是一个绝美的女子，正在静静地望着天上的圆月。她的脸美丽而忧伤，忧伤得令人心碎。
梦如雪 这是一个寻梦的人。他已厌倦事实。他只有寻找曾经的梦，不知道这算不算是一种悲哀呢？
剑痴 他是剑痴，剑重要过他的生命。
雾中人 这个人全身都是模糊的，仿佛是一个并不真正存在的影子。只因他一生都生活在雾中，雾朦胧，人亦朦胧。
独孤不败 这就是一代剑帝独孤求败。独孤求败五岁练剑，十岁就已经罕有人能敌。被江湖称为剑术天才。

第三十五章 冰火岛
火麒麟王 浑身充满灼热的气息，嘴巴可吐出高温烈焰，拥有强韧的利爪以及锋利的尖齿，是主宰冰火岛上的兽王。岛上酷热的火山地带便是他的领地，性格极其凶残，会将所看到闯入其领地的生物物焚烧殆尽。
火麒麟 磷甲刀枪不入，四爪孔武有力速度奇快。浑身能散发极高温的火焰，喜热厌冷，嗜好吞噬火山晶元。现居于冰焰岛火山一侧。
麒麟幼崽 火麒麟的爱子，生人勿近。
游方道士 一名云游四海的道士，头束白色发带，身上的道袍颇为残旧，背驮着一个不大的行囊，脸上的皱纹显示饱经风霜的游历，双目却清澈异常，仿佛包容了天地。
梅花鹿 一身赭黄色的皮毛，背上还有许多像梅花白点。头上岔立着的一双犄角，看上去颇有攻击性。行动十分机敏。
雪狼 毛色净白，眼瞳红如鲜血，牙齿十分锐利，身形巨大强壮，速度极快。天性狡猾，通常都是群体出动。
白熊 全身长满白色长毛，双爪极度锋利，身材颇为剽悍，十分嗜血狂暴。是冰焰岛上最强的猎食者。
殷夫人 此女容貌娇艳无伦，虽已过中年但风采依稀不减。为人任性长情，智计百出，武功十分了得。立场亦正亦邪。乃张五侠结发妻子，张大教主亲生母亲。
张五侠 在武当七侠之中排行第五，人称张五侠。虽人已过中年，但脸上依然俊秀。为人彬彬有礼，谦和中又遮不住激情如火的风发意气。可谓文武双全，乃现任张大教主的亲生父亲。
赵郡主 天下兵马大元帅汝阳王之女，大元第一美人。明艳不可方物，艳丽非凡，性格精灵俊秀，直率豪爽，对张大教主一往情深，为爱放弃所有与其共赴冰焰岛厮守终身。
谢狮王 他就是明教的四大护法之一的金毛狮王。他身材魁伟异常，满头金发散披肩头。但双目已瞎。在你面前一站，威风凛凛，真如天神一般。
黑衣杀手 穿着极其神秘的黑衣人，黑色的面巾遮住了他的面容。武功十分高强。
杀手头目 颇为精明能干。闪烁的双眼散发毋容置疑的威望。乃是这群不明来历黑衣人的统领头目。
元真和尚 此人武功极高，极富智谋，心狠手辣杀人如麻。因与前明教教主私怨而恼羞成怒，出家剃度意图挑拨江湖各大派，以达歼灭明教颠覆武林之目的。与谢狮王也有过一段不为人知的恩怨情仇。
蓬面老头 蓬头垢面，衣服千丝万缕，显然被关在这里已经很久了。

第三十六章 侠客岛
黄衣船夫 这是个身着黄衣的三十几岁汉子，手持木桨，面无表情。
侠客岛厮仆 他是岛上的一个仆人，手底下似乎很有两下子。
张三 乃江湖传闻中赏善罚恶使者之一，其精明能干，为人大公无私。但平时大大咧咧表情十分滑稽。
云游高僧 一位云游四方的行者，风霜满面，行色匆匆，似乎正在办一件急事。
王五 他大约二十多岁，精明能干，笑嘻嘻的和蔼可亲。
白衣弟子 乃侠客岛龙岛主门下的一个弟子。身上穿着洗得发白的锦衣，头上带着秀才帽，一脸的书呆子气，怎麽看也不象是个武林中人。
丁三 一个鹤发童颜的老头，穿得荒诞不经，但看似武功十分了得。
店小二 位店小二正笑咪咪地忙著，还不时拿起挂在脖子上的抹布擦脸。
侠客岛闲人 他是岛上一个游手好闲的人。不怀好意。
石公子 这是一个年轻公子，面若中秋之月，色如春晓之花，鬓若刀裁，眉如墨画，鼻如悬胆，情若秋波，虽怒而时笑，即视而有情。
书生 他看过去像个落泊的书生，呆头呆脑的一付书呆子的样子。但只要你留心，你就发现他两眼深沉，而且腰挂一把长剑。
丁当 一个十七八岁的少女，身穿淡绿衫子，一张瓜子脸，秀丽美艳。
白掌门 他就是雪山剑派的掌门人，习武成性，自认为天下武功第一，精明能干，嫉恶如仇，性如烈火。
马六 他身材魁梧，圆脸大耳，笑嘻嘻地和蔼可亲。
侠客岛弟子 这是身材魁梧的壮汉，膀大腰圆，是岛主从中原招募来的。力气十分之大。
李四 身形甚高，但十分瘦削，留一撇鼠尾须，脸色阴沉。就是江湖传闻中赏善罚恶使者之一，其精明能干，但总是阴沉着脸。
蓝衣弟子 她是木岛主的女弟子，专管传授岛上弟子的基本功夫。
童子 这是一个十五六岁的少年，眉清目秀，聪明伶俐，深得岛主喜爱。
龙岛主 就是天下闻之色变的侠客岛岛主，号称“不死神龙”。他须眉全白，脸色红润，有如孩童。看不出他的实际年纪。
木岛主 他就是天下闻之色变的侠客岛岛主，号称“叶上秋露”。只见他长须稀稀落落，兀自黑多白少，但一张脸却满是皱纹。看不出他的实际年纪。
侍者 这是个身着黄衣的三十几岁汉子，垂手站立，面无表情。
史婆婆 她是雪山派白掌门的妻子，虽说现在人已显得苍老，但几十年前提起“江湖一枝花”史小妹来，武林中却是无人不知。
矮老者 此老身躯矮小，但气度非凡，令人不敢小窥。他与其师弟高老者闭关已久，江湖上鲜闻其名。武功之高，却令人震惊。
高老者 他身形高大硕状，满面红光。举止滑稽，带点傻气，武功却是极高。他因不常在江湖上露面，是以并非太多人知闻其名。
谢居士 他就是摩天崖的主人。是个亦正亦邪的高手，但信守承诺，年轻时好武成兴，无比骄傲，自认为天下第一。
朱熹 他是个精通诗理的学者，原本是被逼而来到侠客岛，但学了武功後死心塌地的留了下来。
小猴子 一只机灵的猴子，眼巴巴的看着你，大概想讨些吃的。
樵夫 一个一辈子以砍材为生的老樵夫，由于饱受风霜，显出与年龄不相称的衰老。
医者 一位白发银须的老者。据说当年曾经是江湖上一位著名的神医。'但自从来到侠客岛上后，隐姓埋名，至今谁也不知道他真名是甚么了。'他看起来懒洋洋的，你要是想请他疗伤的话恐怕不那么容易。
石帮主 为人忠厚老实，性情温和，天赋极高，记性极好。穿着一身破烂的衣服，却也挡不住他一身的英气。似乎身怀绝世武功。
野猪 这是一只凶猛的野猪，长得极为粗壮，嘴里还不断发出可怕的哄声。
渔家男孩 这是个渔家少年，大概由于长期在室外的缘故，皮肤已晒得黝黑，人也长得很粗壮了。
渔夫 看过去像个平平凡凡的渔夫，脸和赤裸的臂膀都晒得黑黑的。但只要你留心，你就发现他两眼深沉，而且腰挂一把长剑。
渔家少女 这是个渔家少女，虽然只有十二、三岁，但身材已经发育得很好了，眼睛水汪汪很是诱人。
阅书老者 一个精神矍烁的老者，他正手持书籍，稳站地上，很有姜太公之风。
青年海盗 一个青年海盗，颇为精壮，，眼角中展露出了凶相。
老海盗 一个年老的海盗，虽然胡子一大把了，但还是凶巴巴的。

第三十七章 绝情谷
土匪 在山谷下烧伤抢掠的恶人。
村民 世代生活于此的人，每日靠着进山打打猎生活。
野兔 正在吃草的野兔。
绝情谷弟子 年纪不大，却心狠手辣，一直守候在绝情山庄。
冰蛇 身体犹如冰块透明般的蛇。
千年寒蛇 一条通体雪白的大蛇。
天竺大师 在绝情谷中研究怎么破解情花之毒的医学圣手。
养花女 照顾着绝情谷的花花草草的少女。
侍女 好色的绝情谷谷主从来劫来的少女。
谷主夫人 绝情谷上一任谷主的女儿，被现任谷主所伤，终日只得坐在轮椅之上。
门卫 这是个年富力强的卫兵，样子十分威严。
绝情谷谷主 好色、阴险狡诈的独眼龙。
白衣女子 一个宛如仙女般的白衣女子。
采花贼 声名狼藉的采花贼，一路潜逃来到了绝情谷。
拓跋嗣 鲜卑皇族后裔，自幼就表现出过人的军事天赋，十七岁时就远赴河套抗击柔然骑兵，迫使柔然不敢入侵。
没藏羽无 多权谋，善用计，所率西夏堂刺客素以神鬼莫测著称，让对头心惊胆战。
野利仁嵘 西夏皇族后裔，黑道威名赫赫的杀手头领，决策果断，部署周密，讲究战法，神出鬼没。
嵬名元昊 一副圆圆的面孔，炯炯的目光下，鹰勾鼻子耸起，刚毅中带着几分凛然不可侵犯的神态。中等身材，却显得魁梧雄壮，英气逼人。平素喜穿白色长袖衣，头戴黑色冠帽，身佩弓矢。此人城府心机深不可测，凭借一身最惊世骇俗的的锤法位居西夏堂最处尊居显之位，力图在天波杨门与燕云世家三方互相牵制各自鼎立态势下，为本门谋求最大之利益。
雪若云 身着黑色纱裙，面容精致秀美，神色冷若冰雪，嘴角却隐隐透出一股温暖的笑意。现在似是在被仇家围攻，已是身受重伤。
养鳄人 饲养鳄鱼的年轻汉子。
鳄鱼 悠闲的在鳄鱼潭边休息，看似人畜无害，但是无人敢靠近它们。
囚犯 被关押在暗无天日的地牢内，落魄的样子无法让你联想到他们曾是江湖好汉。
地牢看守 看守着地牢的武者，一脸严肃，不知道在想些什么。

第三十八章 碧海山庄
龙王殿 法明大师 管理龙王殿的高僧，龙王殿大大小小的事物都是他在负责。
龙王殿 僧人 龙王殿僧人，负责每年祭祀龙王。
桃花源 隐士 厌倦了这世间的纷纷扰扰，隐居于此的世外高人。
溪流 野兔 正在吃草的兔子。
碧海山庄大门 护卫 他是一个身材高大的中年男子，看起来凶神恶煞，招惹不得。
碧海亭 侍女 打理碧海山庄上上下下的杂物。
小桥 尹秋水 她肌肤胜雪，双目犹似一泓清水，顾盼之际，自有一番清雅高华的气质，让人为之所摄、自惭形秽、不敢亵渎。但那冷傲灵动中颇有勾魂摄魄之态，又让人不能不魂牵蒙绕。
花园 养花女 一位养花少女，她每天就是照顾这数也数不清的花。
前院 家丁 碧海山庄的家丁。
碧海山庄大厅 耶律楚哥 出身契丹皇族，为人多智谋，善料敌先机，骑术了得，为大辽立下赫赫卓著战功。故而被奉为燕云世家之主。与天波杨门缠斗一生，至死方休。
碧海山庄大厅、炼丹室 护卫总管 身材瘦小，可是一身武艺超群，碧海山庄之内能胜他者不超过五人
厨房 易牙传人 一身厨艺已经傲世天下，煎、熬、燔、炙，无所不精。
柴房 砍柴人 碧海山庄所需木柴都由他来供给。
客房 独孤雄 一个风程仆仆的侠客。
宅院 王子轩 碧海山庄少庄主，整日沉迷于一些稀奇古怪的玩意。
炼丹室 王昕 年过半百的中年男子，长相平庸，很难让人把他与碧海山庄庄主这个身份联想起来。


第三十九章 天山
官道 周教头 大内军教头，外表朴实无华，实则锋芒内敛。有着一腔江湖豪情。
辛怪人 性情古怪，不好交往，喜用新招，每每和对方对招之际，学会对方的招式，然后拿来对付对方，令到对方啼笑皆非。。是个狼养大的孩子，他很能打，打起来不要命，一个性情古怪的人，有着一段谜一样的过去。
穆小哥 一个只有十八九岁的小伙子，乐观豁达，无处世经验，对情感也茫然无措，擅长进攻，变化奇快。
牧民 这是一位边塞牧民，正在驱赶羊群。
塞外胡兵 一副凶神恶煞的长相，来自塞外。以掳掠关外牧民卫生。
胡兵头领 手持一根狼牙棒，背负一口长弓。身材高大，面目可憎。
乌刀客 他就是名动江湖的乌老大，昔日曾谋反童姥未遂而被囚禁于此。
波斯商人 这是一位来自波斯的商人，经商手段十分高明。
贺好汉 乃行走江湖的绿林好汉，脾气极为暴躁。
铁好汉 邱莫言重金雇佣的绿林好汉，贺兰山草寇。缺乏主见，使一柄没有太多特色的单刀，虽是为财而来，却也不失为江湖义士
刁屠夫 乃龙门客栈屠夫，此人凭借常年累月的剔骨切肉练就一身好刀法。
金老板 龙门客栈老板娘，为人八面玲珑。左手使镖，右手使刀，体态婀娜多姿，妩媚泼辣。
韩马夫 一位憨直的汉子，面容普通，但本性古道热肠，有侠义本色。
蒙面女郎 这是个身材娇好的女郎，轻纱遮面，一双秀目中透出一丝杀气。
武壮士 他身穿一件藏蓝色古香缎夹袍，腰间绑着一根青色蟒纹带，一头暗红色的发丝，有着一双深不可测眼睛，体型挺秀，当真是风度翩翩飒爽英姿。
程首领 她是「灵柩宫」九天九部中钧天部的副首领
菊剑 这是个容貌姣好的女子，瓜子脸蛋，眼如点漆，清秀绝俗。
石嫂 她是[灵柩宫]的厨师。
兰剑 这是个容貌姣好的女子，瓜子脸蛋。
符针神 她是「灵柩宫」九天九部中阳天部的首领她号称「针神」
梅剑 她有着白皙的面容，犹如梅花般的亲丽脱俗，堆云砌黑的浓发，整个人显得妍姿俏丽惠质兰心。
竹剑 这是个容貌姣好的女子，瓜子脸蛋，眼如点漆，清秀绝俗。你总觉得在哪见过她
余婆 她是「灵柩宫」九天九部中昊天部的首领。她跟随童姥多年，出生入死，饱经风霜。
九翼 他是西夏一品堂礼聘的高手，身材高瘦，脸上总是阴沉沉的他轻功极高，擅使雷公挡，凭一手雷公挡功夫，成为江湖的一流高手。
天山死士 是掌门从武林掳掠天资聪明的小孩至天山培养的弟子，自小就相互厮杀，脱颖而出者便会成为天山死士，只听命于掌门一人，倘若有好事者在天山大动干戈，他将毫不犹豫的将对方动武，至死方休。
天山大剑师 弃尘世而深居天山颠峰，数十年成铸剑宗师，铸成七把宝剑。此七把剑代表晦明大师在天山上经过的七个不同剑的境界。
护关弟子 这是掌门最忠心的护卫，武功高深莫测。正用警惕的眼光打量着你
楚大师兄 有“塞外第一剑客”之称、“游龙一出，万剑臣服”之勇。性傲、极度自信、重情重义、儿女情长，具有英雄气盖，但容易感情用事，做事走极端。乃天山派大师兄。
傅奇士 一个三绺长须、面色红润、儒冠儒服的老人，不但医术精妙，天下无匹，而且长于武功，在剑法上有精深造诣。除此之外，他还是书画名家。
杨英雄 一个有情有义的好男儿，他武功高强大义凛然，乃天山派二师兄。
胡大侠 因其武功高强神出鬼没。在江湖上人送外号「雪山飞狐」。他身穿一件白色长衫，腰间别着一把看起来很旧的刀。他满腮虬髯，根根如铁，一头浓发，却不结辫。


第四十章 苗疆
温青 此人俊秀异常，个性温和有风度，喜好游历山水是一位姿态优雅的翩翩君子
苗村长 这是本村的村长，凡是村里各家各户，老老少少的事他没有不知道的。
苗家小娃 此娃肥肥胖胖，走路一晃一晃，甚是可爱。
苗族少年 一个身穿苗族服饰的英俊少年。
苗族少女 一个身穿苗族服饰的妙龄少女。
田嫂 一个白皙丰满的中年妇人．
金背蜈蚣 一条三尺多长，张牙舞爪的毒蜈蚣。
人面蜘蛛 一只面盆大小，长着人样脑袋的大蜘蛛。
吸血蜘蛛 一只拳头大小，全身绿毛的毒蜘蛛。
樵夫 一位面色黑红，悠然自得的樵夫．
蓝姑娘 此女千娇百媚，风韵甚佳，声音娇柔宛转，荡人心魄。年龄约莫二十三四岁。喜欢养毒蛇，能炼制传说中苗族人的蛊毒，还善于配置各种剧毒。喜欢吹洞箫，口哨也很好。
莽牯朱蛤 一只拳头大小，叫声洪亮的毒蛤蟆。
阴山天蜈 一条三寸多长，长有一双翅膀剧毒蜈蚣。
食尸蝎 一条三尺来长，全身铁甲的毒蝎子。
蛇 一条七尺多长，手腕般粗细的毒蛇。十分骇人。
五毒教徒 一个五毒的基层教徒，看来刚入教不久。
沙护法 他就是五毒教的护法弟子，身材魁梧，方面大耳。在教中转管招募教众，教授弟子们的入门功夫。
五毒弟子 五毒教一个身体强壮的苗族青年，看来武功已小由所成。
毒郎中 一位身穿道服，干瘪黑瘦的中年苗人．
白鬓老者 一个须发皆白的老者，精神矍铄，满面红光。
何长老 她就是五毒教的长老，教主的姑姑。随然是教主的长辈，但功夫却是一块跟上代教主学的。据说她曾经被立为教主继承人，但后来犯下大错，所以被罚到此处面壁思过，以赎前罪。她穿着一身破旧的衣衫，满脸疤痕，长得骨瘦如柴，双目中满是怨毒之色。
毒女 年纪约20岁，冷艳绝伦，背景离奇，混身是毒，外号毒女曼陀罗，涉嫌下毒命案，其实她是个十分善良的女子。与铁捕快有一段缠绵悱恻的爱情，花耐寒而艳丽。
潘左护法 他就是五毒教的左护法，人称笑面阎罗。别看他一脸笑眯眯的，但是常常杀人于弹指之间，一手五毒钩法也已达到登峰造极的境界。
大祭司 乃苗疆最为德高望重的祭师。但凡祭祀之事皆是由其一手主持。
岑秀士 他就是五毒教的右护法，人称五毒秀士。经常装扮成一个白衣秀士的模样，没事总爱附庸风雅。
齐长老 他就是五毒教的长老，人称锦衣毒丐。乃是教主的同门师兄，在教中一向飞扬跋扈，大权独揽。他长的身材魁梧，面目狰狞，身穿一件五彩锦衣，太阳穴高高坟起。
五毒护法 乃帮主的贴身护法，为人忠心耿耿，武艺深不可测。帮主有难时，会豁尽全力以护佑她人身安全。
何教主 你对面的是一个一身粉红纱裙，笑靥如花的少女。她长得肌肤雪白，眉目如画，赤着一双白嫩的秀足，手脚上都戴着闪闪的金镯。谁能想到她就是五毒教的教主，武林人士提起她无不胆颤心惊。


第四十一章 白帝城
白衣弟子 身穿白衣的青年弟子，似乎身手不凡，傲气十足。
守门士兵 身穿白帝城军服的士兵。
白衣士兵 身穿白衣的士兵，正在街上巡逻。
文将军 白帝城公孙氏的外戚，主要在紫阳城替白帝城防御外敌。
粮官 负责管理紫阳城的粮仓的官员。
练武士兵 正在奋力操练的士兵。
近身侍卫 公孙将军的近身侍卫，手执长剑。
公孙将军 公孙氏的一位将军，深受白帝信任，被派到紫阳城担任守城要务。
白衣少年 身穿白帝城统一服饰的少年，长相虽然一般，但神态看起来有点傲气。
李峰 精神奕奕的中年汉子，看起来非常自信。
李白 字太白，号青莲居士，又号“谪仙人”，他拿着一壶酒，似乎醉醺醺的样子。
“妖怪” 一个公孙氏的纨绔弟子，无聊得假扮妖怪到处吓人。
庙祝 一个风程仆仆的侠客。
狱卒 一个普通的狱卒，似乎在这发呆。
白帝 现任白帝，乃公孙氏族长，看起来威严无比，在他身旁能感受到不少压力。
李巡 白发苍苍的老头，貌似是李峰的父亲。
镇长 白发苍苍的镇长，看起来还挺精神的。


第四十二章 墨家机关城
墨家弟子 一声正气禀然的装束，乃天下间心存侠义之人仰慕墨家风采而成为其中一员。
索卢参 此人乃墨子学生，为人特别诚恳，因此被指派负责接待外宾司仪一职。
高孙子 为墨子的学生，口才十分了得。故而负责机关城与外界联系。
燕丹 此人乃前朝皇族，灭国之后投身到墨家麾下四处行侠仗义神秘莫测。
荆轲 墨家绝顶刺客，剑法在墨家中出类拔萃，为人慷慨侠义。备受墨家弟子所敬重。
庖丁 一名憨厚开朗的大胖子，其刀法如神，是个烧遍天下美食的名厨。
治徒娱 为墨子的学生，有过目不忘之才数目分明之能，因此在节用市坐镇负责机关城资源调配。
大博士 对天下学术有着极高造诣的宗师，主管墨家学说的传承。
高石子 此人乃墨子的学生，深受墨子欣赏。曾经当过高官，现主管墨家日常政务。
县子硕 此人乃墨子学生，与高何一样无恶不作，后师从墨子，收心敛性，专职培养墨家人才。
魏越 为墨子的学生，此人天敏而好学，时常不耻下问，因此被墨子钦点在此顾守书籍。
黑衣人 一身蒙面黑衣，鬼鬼祟祟，不知是何人。
徐夫子 墨家最优秀的铸匠，毕生致力精研铸剑术，很多名震天下的神兵利刃皆是出自他手。
屈将子 此人乃资深航海师，墨家麾下的殸龙船便是由其掌控。
偷剑贼 身穿黑色夜行衣，举手投足之间尽显高手风范，实力不容小觑。
高何 此人乃墨子学生，面相凶神恶煞，因而负责机关城的安全事务。
随师弟 随巢子的师弟，因犯事被暂时关于此地。
大匠师 铸艺高超的墨家宗师，主管墨家兵器打造。
随巢子 此人乃墨子的学生，沉迷于打造大型机关兽，木鸢便是出自其手。
鲁班 机关术的专家，以善于发明各种机关而闻名。木匠出身，在机关术上有着天人一般的精湛技艺。如今不知为何来到墨家机关城。
曹公子 早年曾质疑墨子之道，后被博大精深的墨家机关术所折服，专职看守天工坞。
耕柱子 为墨子的学生，此人天资异禀，但骄傲自满，因此被墨子惩罚到兼爱祠看管。
墨子 墨家的开山祖师，以一人之力开创出机关流派，须眉皆白，已不知其岁数几何，但依然满脸红光，精神精神焕发。
公尚过 墨子的弟子，深得墨子器重，为人大公无私，现主管墨家的检察维持门内秩序。


第四十三章 掩月城
越女玉雕 佩剑少女 两个年方豆蔻的小女孩，身上背着一把短剑，腰间系着一块『出云』玉牌，脸上全是天真烂漫。
越女玉雕 野狗 一条低头啃着骨头的野狗。
越女玉雕 执定长老 出云阁四大长老之一，负责出云庄在城中的各种日常事务，也带一些难得下山的年轻小弟子来城中历练。虽表情严肃，却深受晚辈弟子的喜爱。
东林集市 醉酒男子 一名喝得酩酊大醉的男子，看起来似是个浪荡的公子哥。
东林集市 仆人 富家公子的仆人，唯唯诺诺地跟在身后。
犹怜楼 紫衣仆从 身着紫衣的侍从，不像是青楼守卫，却更有豪门王府门卫的气派。
犹怜楼 候君凛 一名中年男子，虽是平常侠客打扮，却颇有几分朝廷中人的气度。
妙玉池 轻纱女侍 一名身着轻纱的女子，黛眉轻扫，红唇轻启，嘴角勾起的那抹弧度仿佛还带着丝丝嘲讽。眼波一转。流露出的风情让人忘记一切。
妙玉池 抚琴女子 身着红衣的抚琴少女，红色的外袍包裹着洁白细腻的肌肤，她偶尔站起走动，都要露出细白水嫩的小腿。脚上的银铃也随着步伐轻轻发出零零碎碎的声音。纤细的手指划过古朴的琵琶。令人骚动的琴声从弦衫流淌下来。
落魂厅 女官人 犹怜楼的女主事，半老徐娘，风韵犹存。
落魂厅 黑纱舞女 一个在大厅中间舞台上表演的舞女，身着黑纱。她玉足轻旋，在地上留下点点画痕，水袖乱舞，沾染墨汁勾勒眼里牡丹，裙摆旋舞，朵朵莲花在她脚底绽放，柳腰轻摇，勾人魂魄，暗送秋波，一时间天地竞相为此美色而失色羞愧。可谓是丝竹罗衣舞纷飞！
曲径 小厮 楼里的小厮，看起来乖巧得很。
曲径 梅映雪 一名英姿飒爽的女剑客，身手非凡，负责把守通向后院的小路。
